no.,substract,catalyst,mol%_catalyst,catalyst 2,mol%_catalyst 2,solvent,M_solvent,solvent 2,M_solvent 2,additives,enviroment,temperature,time,yield,endo,exo,ratio
1,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,,air,rt,3,78,1,1.1,0.476190476
2,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,,O2 balllon,rt,3,80,1,1.1,0.476190476
3,trans(E),Cr1,10,,,HFIP,0.1,,,,O2 balllon,rt,3,32,2,1,0.666666667
4,trans(E),,,TEMPO,10,HFIP,0.1,,,,O2 balllon,rt,72,42,1.8,1,0.642857143
5,trans(E),,,,,HFIP,0.1,,,,O2 balllon,rt,120,28,1,1,0.5
6,trans(E),Cr1,10,TEMPO,10,DMF,0.1,,,,air,rt,12,23,24,1,0.96
7,trans(E),Cr1,10,TEMPO,10,THF,0.1,,,,air,rt,12,48,14,1,0.933333333
8,trans(E),Cr1,10,TEMPO,10,MeCN,0.1,,,,air,rt,12,75,5.4,1,0.84375
9,trans(E),Cr1,10,TEMPO,10,"1,2-DCE",0.1,,,,air,rt,12,49,1.5,1,0.6
10,trans(E),Cr1,10,TEMPO,10,toluene,0.1,,,,air,rt,12,69,8.7,1,0.896907216
11,trans(E),Cr1,10,TEMPO,10,trifluoroethanol,0.1,,,,air,rt,12,70,1.7,1,0.62962963
12,trans(E),Cr1,10,TEMPO,10,hexafluorobenzene,0.1,,,,air,rt,12,74,22,1,0.956521739
13,trans(E),Cr1,10,TEMPO,10,acetone,0.1,,,,air,rt,12,31,2.3,1,0.696969697
14,trans(E),Cr1,10,TEMPO,10,acetic acid,0.1,,,,air,rt,12,0,,,
15,trans(E),Cr1,10,TEMPO,10,"1,4-dioxane",0.1,,,,air,rt,12,50,10,1,0.909090909
16,trans(E),Cr1,10,TEMPO,10,CPME,0.1,,,,air,rt,12,30,7.3,1,0.879518072
17,trans(E),Cr1,10,TEMPO,10,MeOH,0.1,,,,air,rt,12,16,7.2,1,0.87804878
18,trans(E),Cr1,10,TEMPO,10,THP,0.1,,,,air,rt,12,41,9.8,1,0.907407407
19,trans(E),Cr1,10,TEMPO,10,DME,0.1,,,,air,rt,12,52,8.8,1,0.897959184
20,trans(E),Cr1,10,TEMPO,10,DMA,0.1,,,,air,rt,12,11,6.9,1,0.873417722
21,trans(E),Cr1,10,TEMPO,10,DMSO,0.1,,,,air,rt,12,0,,,
22,trans(E),Cr1,10,TEMPO,10,DMPU,0.1,,,,air,rt,12,23,7.8,1,0.886363636
23,trans(E),Cr1,10,TEMPO,10,NMP,0.1,,,,air,rt,12,0,,,
24,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,La(OTf)3,air,rt,3,70,1,1.4,0.416666667
25,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,Ce(OTf)3,air,rt,2,75,1,1.3,0.434782609
26,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,Pr(OTf)3,air,rt,2,79,1,1.9,0.344827586
27,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,Nd(OTf)3,air,rt,2,65,1,2,0.333333333
28,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,Sm(OTf)3,air,rt,2,45,1,1.9,0.344827586
29,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,Eu(OTf)3,air,rt,2,69,1,1.7,0.37037037
30,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,Gd(OTf)3,air,rt,2,60,1,2.4,0.294117647
31,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,Er(OTf)3,air,rt,2,70,1,2,0.333333333
32,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,Yb(OTf)3*,air,rt,2,72,1,2,0.333333333
33,trans(E),Cr1,10,TEMPO,10,HFIP,0.1,,,Tb(OTf)3,air,rt,2,63,1,2,0.333333333
34,trans(E),Cr1,10,TEMPO,10,cyclohexane,0.1,,,,air,rt,12,80,8.3,1,0.892473118
35,trans(E),Cr1,10,TEMPO,10,AcOEt,0.1,,,,air,rt,12,69,5.5,1,0.846153846
36,trans(E),Cr1,10,TEMPO,10,CH3NO2,0.1,,,,air,rt,4,69,1,1.9,0.344827586
37,trans(E),Cr1,10,TEMPO,10,2-nitropropane,0.1,,,,air,rt,6.5,65,1.6,1,0.615384615
38,trans(E),Cr1,10,TEMPO,10,CH3NO2,0.1,,,,air,rt,4,69,1,1.9,0.344827586
39,trans(E),Cr4,10,TEMPO,10,CH3NO2,0.1,,,,air,rt,6,80,1,3.7,0.212765957
40,trans(E),Cr2,10,TEMPO,10,CH3NO2,0.1,,,,air,rt,18,66,1,7.7,0.114942529
41,trans(E),Cr2,10,TEMPO,10,HFIP,0.1,,,,air,rt,1,98,1,8,0.111111111
42,trans(E),Cr2,10,TEMPO,10,HFIP,2.0ml,,,,air,rt,2,95,1,3.7,0.212765957
43,trans(E),Cr2,10,TEMPO,10,HFIP,0.5ml,,,,air,rt,2,92,1,5.9,0.144927536
44,trans(E),Cr2,10,TEMPO,10,HFIP,1.0ml,CCl4,1.0ml,,air,rt,1,92,1,3.2,0.238095238
45,trans(E),Cr2,10,TEMPO,10,HFIP,0.5ml,CCl4,0.5ml,,air,rt,3.5,96,1,2.8,0.263157895
46,trans(E),Cr2,10,TEMPO,20,HFIP,0.1,,,,air,rt,2,98,1,4.6,0.178571429
47,trans(E),Cr2,5,TEMPO,5,HFIP,0.1,,,,air,rt,2,80,1,5,0.166666667
48,trans(E),Cr2,10,DTBMP,10,HFIP,0.1,,,,air,rt,2,92,1,3.8,0.208333333
49,trans(E),Cr2,10,CsCO3,10,HFIP,0.1,,,,air,rt,2,92,1,3.4,0.227272727
50,trans(E),Cr2,10,DIPEA,10,HFIP,0.1,,,,air,rt,2,97,1,1.9,0.344827586
51,trans(E),Cr2,10,pyridine,10,HFIP,0.1,,,,air,rt,2,82,1,1.5,0.4
52,trans(E),Cr2,10,K2CO3,10,HFIP,0.1,,,,air,rt,1.5,91,1,3.7,0.212765957
53,trans(E),Cr2,10,protone sponge,10,HFIP,0.1,,,,air,rt,1.5,77,1,2.8,0.263157895
54,trans(E),Cr1,10,TEMPO,10,THF,0.1,,,,air,rt,72,74,14,1,0.933333333
55,trans(E),Cr2,10,TEMPO,10,HFIP,0.1,,,,air,rt,1,84,1,8,0.111111111
56,trans(E),Cr3,10,TEMPO,10,HFIP,0.1,,,,air,50,1,83,1,4.5,0.181818182
57,trans(E),Cr3,10,TEMPO,10,HFIP,0.1,,,,air,30,1,81,1,6.2,0.138888889
58,trans(E),Cr3,10,TEMPO,10,HFIP,0.1,,,,air,10,3,82,1,3.8,0.208333333
59,trans(E),Cr3,10,TEMPO,10,HFIP,0.1,,,,air,0,9,85,1,5.3,0.158730159
60,trans(E),Cr2,10,TEMPO,10,HFIP,0.1,,,,air,flame dried,1,84,1,8,0.111111111
61,trans(E),Cr2,10,TEMPO,10,dist HFIP,0.1,,,3A,air,flame dried,0.666666667,66,1,21,0.045454545
62,trans(E),Cr2,10,TEMPO,10,dist HFIP,0.1,,,4A,air,flame dried,0.666666667,90,1,20,0.047619048
63,trans(E),Cr2,10,TEMPO,10,dist HFIP,0.1,,,5A,air,flame dried,0.5,91,1,29,0.033333333
64,trans(E),Cr2,10,TEMPO,10,dist HFIP,0.1,,,13X,air,flame dried,2,78,1,5.6,0.151515152
65,trans(E),Cr2,10,TEMPO,10,dist HFIP,0.1,,,4A,air,flame dried,0.666666667,89,1,10,0.090909091
66,trans(E),Cr2,10,TEMPO,10,dist HFIP,0.1,,,,air,flame dried,1,93,1,8.7,0.103092784
67,trans(E),Cr1,10,TEMPO,10,THF,0.1,,,,air,rt,72,74,15,1,0.9375
68,trans(E),Cr1,10,TEMPO,10,THF,0.1,,,,air,50,60,90,15,1,0.9375
69,trans(E),Cr1,10,DTBMP,10,THF,0.1,,,,air,rt,72,78,10,1,0.909090909
70,trans(E),Cr1,10,4-Amino-TEMPO,10,THF,0.1,,,,air,rt,48,72,13,1,0.928571429
71,trans(E),Cr1,10,4-Oxo-TEMPO,10,THF,0.1,,,,air,rt,72,81,13,1,0.928571429
